"","Item_Number","Set_Name","Amazon_Price","Year","Pages","unique_pieces","Theme","Pieces","Price","Ages","Minifigures","Packaging","Weight","Availability","Size"
"1429","76180","Batman vs. The Joker: Batmobile Chase","622.43 Kr",2021,NA,"86","DC Comics Super Heroes","136",NA,"Ages_4+","3","Box","NA","Retail","Small"
"1430","76181","Batmobile: The Penguin Chase","265.47 Kr",2022,NA,"138","DC Comics Super Heroes","392",NA,"Ages_8+","2,","Box","NA","Retail","Small"
"1431","76182","Batman Cowl","1009 Kr*",2021,NA,"121","DC Comics Super Heroes","410",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"1432","76183","Batcave: The Riddler Face-Off","-",2022,NA,"196","DC Comics Super Heroes","581",NA,"Ages_8+","6,","Box","NA","Retail","Small"
"1433","76184","Spider-Man vs. Mysterio's Drone Attack","275.97 Kr*",2021,NA,"48","Marvel Super Heroes","73",NA,"Ages_4+","3,","Box","NA","Retail","Small"
"1434","76185","Spider-Man at the Sanctum Workshop","-",2021,NA,"170","Marvel Super Heroes","355",NA,"Ages_7+","4,","Box","NA","Retail","Small"
"1435","76186","Black Panther Dragon Flyer","263.71 Kr",2021,NA,"88","Marvel Super Heroes","202",NA,"Ages_8+","3","Box","NA","Retail","Small"
"1436","76187","Venom","927.85 Kr",2021,NA,"157","Marvel Super Heroes","565",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"1437","76188","Batman Classic TV Series Batmobile",NA,2021,NA,"125","DC Comics Super Heroes","345",NA,"Ages_7+","2,","Box","NA","Retail","Small"
"1438","76189","Captain America and Hydra Face-Off","128.60 Kr*",2021,NA,"32","Marvel Super Heroes","49",NA,"Ages_4+","2,","Box","NA","Retail","Small"
"1439","76190","Iron Man: Iron Monger Mayhem","622.02 Kr",2021,NA,"156","Marvel Super Heroes","479",NA,"Ages_9+","3,","Box","NA","Retail","Small"
"1440","76191","Infinity Gauntlet","-",2021,NA,"146","Marvel Super Heroes","590",NA,"Ages_18+",NA,"Box","NA","Retail","Small"
"1441","76192","Avengers: Endgame Final Battle","-",2021,NA,"255","Marvel Super Heroes","527",NA,"Ages_8+","8,","Box","NA","Retail","Small"
"1442","76193","The Guardians' Ship","981.96 Kr",2021,NA,"376","Marvel Super Heroes","1901",NA,"Ages_14+","6,","Box","NA","Retail","Small"
"1443","76194","Tony Stark's Sakaarian Iron Man","535.88 Kr",2021,NA,"154","Marvel Super Heroes","369",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1444","76195","Spider-Man's Drone Duel","-",2021,NA,"91","Marvel Super Heroes","198",NA,"Ages_7+","2,","Box","NA","Retail","Small"
"1445","76196","The Avengers Advent Calendar",NA,2021,NA,"187","Marvel Super Heroes","298",NA,"Ages_7+","8,","Box","NA","Retail","Small"
"1446","76198","Spider-Man & Doctor Octopus Mech Battle",NA,2021,NA,"104","Marvel Super Heroes","305",NA,"Ages_7+","2,","Box","NA","Retail","Small"
"1447","76199","Carnage",NA,2021,NA,"158","Marvel Super Heroes","546",NA,"Ages_18+",NA,"Box","NA","Retail - limited","Small"
"1448","76200","Bro Thor's New Asgard",NA,2021,NA,"122","Marvel Super Heroes","265",NA,"Ages_7+","3,","Box","NA","Retail","Small"
"1449","76201","Captain Carter & The Hydra Stomper",NA,2021,NA,"122","Marvel Super Heroes","343",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1450","76202","Wolverine Mech Armor","-",2022,NA,"54","Marvel Super Heroes","141",NA,"Ages_7+","1,","Box","NA","Retail","Small"
"1451","76203","Iron Man Mech Armor","-",2022,NA,"54","Marvel Super Heroes","130",NA,"Ages_7+","1,","Box","NA","Retail","Small"
"1452","76204","Black Panther Mech Armor","-",2022,NA,"46","Marvel Super Heroes","124",NA,"Ages_7+","1","Box","NA","Retail","Small"
"1453","76205","Gargantos Showdown","-",2022,NA,"85","Marvel Super Heroes","264",NA,"Ages_8+","3,","Box","NA","Retail","Small"
"1454","76206","Iron Man Figure","552.13 Kr",2022,NA,"113","Marvel Super Heroes","381",NA,"Ages_9+",NA,"Box","NA","Retail","Small"
"1455","76207","Attack on New Asgard","155.42 Kr",2022,NA,"60","Marvel Super Heroes","159",NA,"Ages_7+","3","Box","NA","Retail","Small"
